金线草	一串红
网络鸡血藤	血防藤
血风藤	血风根
鱼香草	血香茶
小龙胆草	血龙胆
狗牙根	行仪芝
耳草	行路蜈蚣
杜鹃	街
衣鱼	衣中白鱼
古钮菜	衣钮扣
谷精草	衣钮草
薜荔	补血王
金叶子	补骨灵
补骨脂	补骨鸱
榧子	被子
姜石	裂姜石
薏苡仁	裕米
罗裙带	裙带草
豇豆	裙带豆
带鱼	裙带鱼
百部还魂	裸蕊
苦苣	褊苣
细叶桉叶	褐桉树
紫葛	褶文秧
卡密	西伯利亚白刺果
鸭脚木皮	西加皮
樝子	西南木瓜
滇瑞香	西南瑞香
土一枝蒿	西南蓍草
西洋参	西参
莎木面	西国米
覆盆子叶	西国草
甘蓝	西土蓝
地榆	西地榆
枇杷芋	西域丁座草
秦艽	西大艽
玉蜀黍	西天麦
新疆延胡索	西延胡索
当归	西当归
枸杞子	西枸杞
石榴皮	西榴皮
西洋参	西洋人参
苹果	西洋苹果
西番莲	西洋鞠
洋鸭	西洋鸭
游草	西游草
罗勒	西王母菜
纵条肌海葵	西瓜海葵
西瓜霜	西瓜硝
西瓜皮	西瓜翠衣
西瓜皮	西瓜青
玉蜀黍	西番麦
秦艽	西秦艽
玉竹	西竹
番茄	西红柿
番红花	西红花
川芎	西芎
心叶荆芥	西藏土荆芥
藏紫草	西藏紫草
西藏花椒	西藏野花椒
藏青果	西藏青果
岗梅根	西解柴
苦豆根	西豆根
云防风	西防风
藏青果	西青果
川防风	西风
大金刀	西风剑
野苋子	西风谷
金线草根	要子七
远志	要绕
旋覆花	覆
菴䕡	覆䕡
八月札	覆子
蘘荷	覆殖
覆盆子叶	覆盆草叶
蘘荷	覆苴
芡实根	覆菜
海金沙草	见根藤
爬山豆根	见水消
水胡满	见水生
卷柏	见水还阳草
水红袍	见缝合
黄开口	见血住
扁竹兰	见血封口
藤乌头	见血封喉
景天三七	见血散
白毛夏枯草	见血青
山胡椒叶	见风消
虎掌草	见风蓝
山蒟	见风追
虎掌草	见风青
黄花倒水莲	观音串
鸡根	观音倒座
黄花倒水莲	观音坠
相思子	观音子
马蹄蕨	观音座莲
岗松	观音扫
柽柳	观音柳
犁头尖	观音芋
蘘荷	观音花
肿节风	观音茶
木豆	观音豆
石碱	视砂
天名精	觐
江珧柱	角带子
葛蕈	角花
金钟茵陈	角茵陈
葛蕈	角菌
菠菜	角菜
落葱	角葱
豇豆	角豆
塘虱鱼	角鱼
鸱鹤	角鸱
鲚鱼	觜鱼
吉祥草	解晕草
鸡屎藤	解暑藤
八角莲	解毒
小野鸡尾	解毒蕨
汉中防己	解燕
汉中防己	解离
薏苡仁	解蠡
铅粉	解锡
蜣螂	触角牛
芦荟	讷会
茶叶	设
诃子	诃梨
诃子	诃黎
诃子	诃黎勒
铧尖草	试剑草
苍耳七	诗人草
地柏枝	详柏
蜻蜓	诸乘
万年青	诸总管
山药	诸署
芸香草	诸葛草
芜菁	诸葛菜
厚朴花	调羹花
橄榄	谏果
紫雪花	谢三娘
景天	谨火
粟米	谷子
糠谷老	谷子白发
粟奴	谷子黑穗
粟奴	谷子黑粉
谷精草	谷星草
楮叶	谷楮叶
构皮麻	谷沙藤
米皮糠	谷白皮
谷精草	谷精子
鸦葱	谷罗葱
小茴香	谷茴香
大狗尾草	谷莠子
谷芽	谷蘖
五谷虫	谷虫
稻谷芒	谷颖
小茴香	谷香
胡枝子	豆叶柴
大麻药	豆叶百步还阳
牛奶子	豆子树
清酒缸	豆子草
扛板归	豆干草
葛上亭长	豆斑蝥
马齿苋	豆板菜
驳骨草	豆根草
豆腐浆	豆浆
麦饭石	豆渣石
豆瓣香	豆瓣叶
豆瓣绿	豆瓣如意草
附地菜	豆瓣子棵
马棘	豆瓣木
大红袍	豆瓣柴
豆瓣绿	豆瓣鹿衔草
山野豌豆	豆碗碗
桃金娘	豆稔干
豆腐渣果	豆腐果
豆腐泔水	豆腐泔
豆腐皮	豆腐衣
腐巴	豆腐锅巴
绿豆芽	豆芽菜
望江南	豆荚草
歪头菜	豆菜
白豆蔻壳	豆蔻壳
草豆蔻	豆蔻子
大豆黄卷	豆蘖
葛上亭长	豆蚝
豇豆	豆角
山土瓜	豆角参
菜豆树	豆角木
菜豆树	豆角树
大泡通	豆豉杆
华山矾	豆豉果
蜘蛛香	豆豉菜根
赤阳子	豆金娘
菟丝子	豆须子
菟丝	豆马黄
大豆黄卷	豆黄卷
黄鼠肉	豆鼠
淡豆豉	豉
歪头菜	豌豆花
紫金龙	豌豆跌打
入地金牛	豕椒
猪苓	豕橐
猪苓	豕零
地榆	豚榆系
豚卵	豚颠
铁树	象尾菜
猫耳朵草	象牙七
五味藤	象皮藤
芦荟	象胆
竹蜂	象蜂
罂粟	象谷
榼藤子	象豆
浙贝母	象贝
浙贝母	象贝母
大尾摇	象鼻癀
大尾摇	象鼻草
猪苓	豨苓
豨仙草	豨莶草
竹叶参	豪猪七
猪苓	豭猪屎
牡鼠粪	豭鼠粪
大丁草	豹子药
野牡丹子	豹牙郎子
野牡丹	豹牙郎木
闹羊花	豹狗花
卷柏	豹足
菝葜	豺狗刺
毛稔	豺狗舌
豺皮樟	豺皮黄肉楠
刺蒺藜	豺羽
貒膏	貒油
貒肉	貒猪肉
貒膏	貒猪膏
貒膏	貒脂
黄鼠肉	貔狸
白贝	贝子
荷苞花	贞桐花
益母草	贞蔚
蜻蜓	负劳
蜗牛	负壳蜒蚰
蜗牛	负壳话
益母草	负担
鼠妇	负攀
鼠妇	负蟠
华山矾	贡檀兜
蒲葵叶	败扇
棕榈子	败棕子
羊蹄	败毒菜根
小柳拐	败火草
陈壶卢瓢	败瓠
陈壶卢瓢	败瓢
芫花	败花
蒲葵叶	败蒲扇
牛皮	败鼓牛皮
牛皮	败鼓皮
龟甲	败龟
龟甲	败龟甲
知母	货母
烟草	贪抱草
贯众	贯中
凤尾贯众	贯众耳蕨
贯众	贯来
胡颓子根	贯榨根
贯众	贯渠
老鹳草	贯筋
糯米藤	贯线草
贯众	贯节
川芎	贯芎
贯众	贯钟
毛大丁草	贴地消
兔儿伞	贴骨伞
铁箍散	贴骨散
山柏	贵州蹄盖蕨
陈皮	贵老
景天三七	费菜
赶风柴	贼佬药
扶桑花	贼头花
蟑螂	赃郎
葡萄	赐紫樱桃
桑螵蛸	赖尿郎
荔枝草	赖师草
赖毛子	赖鸡毛子
丽春花	赛牡丹
砂茴香	赛防风
蕲蛇	赛鼻蛇
薏苡仁	赣
薏苡仁	赣珠
朱砂	赤丹
鸢根	赤利麻
赤胞	赤包
赤胞	赤包子
丹参	赤参
鹤鹑	赤喉鹑
竹黄	赤团子
代赭石	赤土
金荞麦	赤地利
酢浆草	赤孙施
赤小豆叶	赤小豆藿
何首乌	赤敛
红曲	赤曲
苏木	赤木
金刚散	赤木通
苍术	赤术
厚朴	赤朴
松木皮	赤松皮
无莿根	赤枝山葡萄
山楂	赤枣子
柽柳	赤柽木
柽柳	赤柽柳
菠菜	赤根菜
赤链蛇	赤楝
赤链蛇	赤楝蛇
紫檀	赤檀
水银	赤汞
乌鼓莓	赤泼藤
山楂	赤爪实
山楂木	赤爪木
玉	赤玉
龙珠	赤珠
蝤蛑	赤甲红
爵床	赤眼
爵床	赤眼老母草
鳟鱼	赤眼鱼
赤石脂	赤石土
硒砂	赤砂
赤石脂	赤符
天麻	赤箭
天麻	赤箭脂
菟丝	赤网
紫草茸	赤胶
岩冬菜	赤脚大仙
珍珠菜	赤脚草
大麦	赤膊麦
树舌	赤色老母菌
萆薢	赤节
赤芍	赤芍药
芫花	赤芫
赤茯苓	赤苓
赤茯苓	赤茯
红药子	赤药
尖尾风	赤药子
海萝	赤菜
鹿梨	赤萝
乌鼓莓	赤葛
蜀葵苗	赤葵茎
金荞麦	赤薜荔
省藤	赤藤
赤小豆	赤豆
代赭石	赤赭石
赤链蛇	赤连
鷩雉	赤雉
赤胞	赤雹
王瓜子	赤雹子
灯心草	赤须
何首乌	赤首乌
河豚	赤鲑
赤链蛇	赤鲢
鲤鱼	赤鲤鱼
鷩雉	赤鷩
槐耳	赤鸡
棘针	赤龙爪
曾青	赤龙翘
松木皮	赤龙鳞
荷苞花	赪桐花
鲤鱼	赪鲤
代赭石	赭石
薯莨	赭魁
见血清	走子草
红大戟	走沙黄
地锦	走游藤
观音竹	走肾草
獐牙菜	走胆草
湖广草	走茎丹参
红铧头草	走边疆
青兔耳风	走马丹
陆英	走马箭
大活	走马芹
大活	走马芹筒子
鼠李	赵李
丢了棒	赶风债
尖尾风	赶风帅
尖尾风	赶风晒
黄葵	赶风瘀
走马风	赶风茜
水泽兰	赶黄草
薏苡仁	起实
尖尾风	起疯晒
鸭儿芹	起莫
韭菜	起阳草
苹果	超凡子
大叶藤	越南大叶藤
四楞通	越南钩藤
栀子	越桃
越王余筭	越王竹
白鹇	越禽
鹧鸪	越雉
鹧鸪	越鸟
杜鹃	趋鸠
米麦麨	趟
竹鱼	足鱼
横经席	跌打将军
千层塔	跌打损伤草
水龙骨	跌打粗
三张叶	跌打鼠
田基黄	跌水草
景天	跤蹬草
露兜竻花	路头花
白桄子	路线草
狼萁草	路萁子柴
小叶三点金草	路路星
枫香寄生	路路通寄生
六月寒	路边梢
清酒缸	路边肖
看麦娘	路边谷
白马骨	路边金
盲肠草	路边针
柔毛水杨梅	路边香
小九节铃	跳三步
叩头虫	跳搏虫
叩头虫	跳百丈
锈毛白枪杆	跳皮树
叩头虫	跳米虫
鬼针草	跳虱草
蜗牛	跳輸
铁	跳铁
寒莓	踏地杨梅
漆姑草	踏地草
大丁草	踏地香
杜茎山	踏天桥
黄花堇菜	踏膀药
闹羊花	踯躅花
紫金沙	踵瓣芹
山紫菀	蹄叶紫菀
骆驼蹄瓣	蹄瓣根
芋头	蹲鸱
石首鱼	躁
雀瓮	躁舍
车前草	车前
车前子	车前实
田旋花	车子蔓
砗磲	车渠
西施舌	车蛤
苘麻	车轮草
车前草	车轮菜
车前草	车轱辘草
滇南马钱	车里马钱子
鹰头	车风
蜣螂	转丸
紫金莲	转子莲
西番莲	转心莲
西番莲	转枝莲
蝎子七	转珠莲
西番莲	转盘花
叶上珠	转竺
雪山林	转筋草
芙蓉花	转观花
枳椇子	转钮子
轮叶八宝	轮叶景天
人尿	轮回酒
龙须藤	轮环藤
线叶蓟	轮蓟
石筋草	软枝三股筋
小羊桃	软枣猕猴桃
野茶辣	软柏木
红辣蓼	软水蓼
石膏	软石膏
瑞香根	软筋木
六方藤	软筋美
饴糖	软糖
金鱼藻	软草
千里光	软藤黄花草
水松	软软菜
水芙蓉	软骨倒水莲
发痧藤	软骨山川
老鼠筋	软骨牡丹
墙草根	软骨石薯
地锦草	软骨莲子草
地柏枝	软鸡草
苜蓿	较蓿
大麦	辉
大麦	辉麦
黄鼠肉	辉鼠
鹿耳翎	辘轴风
辛夷	辛知
辛夷	辛雉
壁虎	辟宫子
景天	辟火
金鸡脚	辟瘟草
薜荔	辟萼
朱砂莲	辟虺雷
朱砂莲	辟蛇雷
九头狮子草	辣叶青药
白乳菇	辣味乳菇
云南萝芙木	辣多
辣椒	辣子
肉桂	辣桂
无莿根	辣梨茶
南方露珠草	辣椒七
山蒟	辣椒姜
菜豆树	辣椒树
红辣蓼	辣椒草
益母草	辣母藤
蔊菜	辣米菜
辣椒	辣茄
白芥子	辣菜子
毛麝香	辣蓟
水蓼	辣蓼草
辣椒	辣虎
辣椒	辣角
手莨	辣辣草
红辣蓼	辣马蓼
毛麝香	辣鸡
辣辣菜	辣麻麻
麻布七	辫子七
小叶三点金草	辫子草
朱砂	辰砂
蜈蚣萍	边箕萍
海参	辽参
箬叶	辽叶
北沙参	辽沙参
黄鼠肉	达呼尔黄鼠
满山红	达子香
沙棘	达尔
独一味	达干木
独一味	达折合巴
球兰	达斗藤
乌骚风	达风藤
草血竭	迂头鸡
土茯苓	过冈龙
忍冬藤	过冬藤
荔枝草	过冬青
三白草根	过塘藕
扶芳藤	过墙风
无爷藤	过天藤
麒麟尾	过山标
蝴蝶花	过山虎
榼藤	过岗扁龙
九龙藤	过岗龙
榼藤子	过岗龙种子
黄梢蛇	过树榕
黄梢蛇	过树龙
马蹬草	过桥草
薜荔	过水龙
扁藤	过江扁龙
牛尾菜	过江蕨
过塘蛇	过江藤
地瓜藤	过石龙
伸筋草	过筋草
皋芦	过罗
山蒟	过节风
繸瓣珍珠菜	过落花
䗪虫	过街
吹云草	过路蛇
红土子	过路青
入地蜈蚣	过路鹅江
地锦	过风藤
土丁桂	过饥草
杜鹃花叶	迎山红叶
辛夷	迎春
毛鸡屎藤	迎风子
火炭母草	运药
烟草	返魂烟
紫菀	返魂草根
伤寒草	返魂香
人尿	还元汤
黄寿丹	还少丹
决明子	还瞳子
天麻子	还筒子
望江青	还精草
叶底红	还魂红
苍耳	进贤菜
瓜子金	远志草
白及	连及草
大叶骨牌草	连天草
路边姜	连姜巴
野菠菜	连明子
苜蓿	连枝草
水蜈蚣	连根草
菊花脑	连梗野菊
知母	连母
锈毛钝果寄生	连江寄生
九子连环草	连环草
九子连环草	连珠三七
莲生桂子花	连生桂枝
玉竹	连竹
羊蹄	连虫陆
大叶骨牌草	连贴草
连翘根	连轺
肉豆蔻	迦拘勒
旋覆花	迭罗黄
海金沙草	迷离网
莪术	迷药
紫萁贯众	迷蕨
淡竹叶	迷身草
地桃花	迷马桩
拔毒散	迷马桩棵
钻地风	追地枫
五气朝阳草	追风七
丢了棒	追风棍
仙人杖	退秧竹
羌活	退风使者
徐长卿	逍遥竹
小叶三点金草	逍遥草
莲生桂子花	透云花
黑老虎	透地连珠
水石油菜	透明草
朱砂莲	透水雷
硒砂	透骨将军
活血丹	透骨风
厚朴果	逐折
鹧鸪	逐隐
岩笋	通兰
水芙蓉	通关草
酸藤木	通天霸
自消容	通心容
自消容	通心草
通花根	通打根
小通草	通条树
笔筒草	通气草
忍冬藤	通灵草
孔公孽	通石
珍珠菜	通筋草
通草	通脱木
通草	通花
通草	通花五加
棣棠花	通花条
小通草	通草树
通花根	通草根
萝芙木	通骨消
臭牡丹	逢仙草
米仔兰花	逻罗花
蛇百子	逼死蛇
大驳骨丹	逼迫树
商陆	遂荡马尾
三点金草	遍地撒金钱
绞股蓝	遍地生根
活血丹	遍地金钱
天胡荽	遍地锦
天胡荽	遍地青
活血丹	遍地香
金钱草	遍地黄
干岩矸	遍山白
菥蓂	遏蓝菜
苍耳子	道人头
看麦娘	道旁谷
牛含水	道爪草
萹蓄	道生草
麝香	遗香
鱼鳔	遜鲲
鼻血雷	避蛇参
兰香草	避蛇虫
大叶白头翁	避风草
毛叶石楠	邓向观根
大戟	邛钜
回回豆	那合豆
番石榴叶	那拔叶
番石榴根	那拔根
红头小仙	那猪草
薜荔	邦邦老虎藤
九龙藤	邬郎藤
海鹞鱼	邵阳鱼
益母草	郁臭苗
益母草	郁臭草
郁李仁	郁里仁
罗裙带	郁金叶
郁金香	郁香
丹参	郄蝉草
血党	郎伞
朱砂根	郎伞树
阴地蕨	郎其细辛
相思子	郎君子
狼杷草	郎耶草
胡颓子	郎郎崽
蟹	郭索
杜鹃	郸鹉
钩栗	都子
都拉	都拉参
佩兰	都梁香
天仙藤	都淋藤
湖北地黄	鄂地黄
黑沙蒿	鄂尔多斯蒿
夏枯草	鄉头草
石脑油	鄜延脂
蟾蜍	（酋黾）鼋
九仙草	酒仙草
鹿藿	酒壶藤
毛麝香	酒子草
酒药花	酒曲花
小金钱草	酒杯窝
遍山红	酒瓶果
滇丁香	酒瓶花
酒酿	酒窝
酒糟	酒醅糟
洋金花	酒醉花
仰天钟	酒里坛
酒饼婆	酒饼子
酒饼婆	酒饼木
山蒟	酒饼藤
酸浆	酢浆
酥	酥油
金磷石	酥酥石
茶叶	酪奴
酥	酪苏
茄子	酪酥
轮叶八宝	酱子草
马牙半支	酱板草
马牙半支	酱瓣半支
茄子	酱茄
蟑螂	酱虫
楮叶	酱黄叶
石蕊	酶苔
阳桃	酸五棱
沙棘	酸刺
沙棘	酸刺刺
沙棘	酸刺子
咸酸蔃	酸味强
五月茶	酸味树
酢浆草	酸味草
马齿苋	酸味菜
酢浆草	酸啾啾
辽瓦松	酸塔
酸楂树皮	酸多李皮
白毛藤	酸尖菜
酸藤果	酸强子
酸楂果	酸木瓜
酸模	酸木通
虎杖	酸杆
虎杖	酸杖
矮杨梅果	酸杨梅
酸枣仁	酸枣核
山楂	酸查
沙棘	酸柳柳
阳桃	酸桃
木竹子	酸桐子
虎杖	酸桶笋
酸角	酸梅
雀梅藤	酸梅勒
山楂	酸梅子
鹿梨	酸梨
石榴根	酸榴根
石榴皮	酸榴皮
牛西西叶	酸模叶
牛西西	酸模根
玳玳花	酸橙花
酸模	酸母
酸模	酸汤菜
挂金灯	酸浆实
浆水	酸浆水
狼尾巴花	酸溜子
竹叶子	酸猪草
水八角	酸猴儿
穿鱼藤	酸皮条
败酱	酸益
石榴皮	酸石榴皮
石榴花	酸石榴花
酢浆草	酸箕
地羊鹊	酸米子
珍珠菜	酸罐罐
卡密	酸胖
马齿苋	酸苋
山海棠	酸苹果
酢浆草	酸草
酸藤果	酸藤头
地榆	酸赭
酢浆草	酸迷迷草
虎杖	酸通
簕苋菜	酸酸苋
山大黄	酸酸草
酸藤木	酸醋木
酸角	酸饺
酢浆草	酸饺草
酸模	酸鸡溜
曼陀罗子	醉仙桃
睡菜	醉草
芙蓉花	醉酒芙蓉
醉马草	醉马豆
醉鱼草	醉鱼儿草
沙棘	醋柳
沙棘	醋柳果
酸浆	醋浆
酸石榴	醋石榴
石榴根	醋石榴根
佩兰	醒头草
金盏草	醒酒花
黄葵	醪毒草
香蒲	醮
香蒲	醮石
醋	醯
山慈菇	采配兰
鷩雉	采鸡
番荔枝	释迦果
柠檬	里木子
木槿花	里梅花
万寿菊花	里苦艾
拳参	重伤
重唇鱼	重口鱼
玄参	重台
蚤休	重台根
蚤休	重台草
鰕虎鱼	重唇
黄精	重楼
甘遂	重泽
厚朴	重皮
狼尾巴花	重穗排草
百合	重箱
狼尾草	重粱
百合	重迈
秋枫木	重阳木
金线草	重阳柳
土一枝蒿	野一枝蒿
滇丁香	野丁香
爵床	野万年青
白头翁	野丈人
竹节人参叶	野三七叶
天葵子	野乌头子
五香血藤	野五味子藤
八月瓜	野人瓜
人血七	野人血
人血七	野人血草
剪刀草	野仙人草
黄精	野仙姜
兰香草	野仙草
土党参	野党参
樟木钻	野八角
漏芦	野兰
茵陈蒿	野兰蒿
南赤匏	野冬瓜
羊屎果	野冬青果
牧马豆	野决明
鳞衣草	野凉粉草藤
水金凤	野凤仙
醉鱼草	野刚子
簕苋菜	野刺苋菜
大蓟	野刺菜
簕苋菜	野勒苋
鸭脚艾	野勒菜
算盘子	野北瓜子
白附子	野半夏
算盘子叶	野南瓜叶
荔枝草	野卜荷
铁栏杆	野叶子烟
水虾草	野合香
合萌	野含羞草
鹅不食草	野园荽
地瓜藤	野地瓜藤
望江青	野地蚕
大青根	野地骨
石龙芮	野堇菜
半枝莲	野夏枯草
穞豆	野大豆
雀麦	野大麦
山大黄	野大黄
隔山香	野天竹
百部	野天门冬
益母草	野天麻
合萌	野寒豆
雀麦	野小麦
蘘荷	野山姜
卜芥	野山芋
胡枝子根	野山豆根
黑藁本	野川芎
大泡通	野巴戟
石龙刍根	野席草根
破碗掌脚树	野广石榴
夏天无	野延胡
乌豆根	野建芪
素馨花	野悉蜜
白附子	野慈菇
树扁竹	野扁竹
望江南	野扁豆
牛角瓜	野攀枝花
穞豆	野料豆
三分三	野旱烟
杓儿菜	野朝阳柄
梵天花	野木棉
青木香	野木香根
榧子	野杉子
草金杉	野杉根
楮实	野杨梅子
乌豆根	野松皮
平地木	野枇杷叶
残槁蔃	野果木
胡颓子	野枣子
地锦	野枫藤
蜀羊泉	野枸杞
岩春草	野柏树
栀子花	野桂花
白鱼尾	野桃
地桃花	野桃花
千金藤	野桃草
地桃花	野桐乔
蘡薁藤	野桑叶
回回蒜	野桑椹
瑞香花	野梦花
鹿梨果皮	野梨果皮
苘麻子	野棉花子
大火草根	野棉花根
岩椒草	野椒
马棘	野槐树
苦参	野槐根
枸橘	野橙子
穞豆	野毛扁豆
算盘子	野毛楂
墨旱莲	野水凤仙
地膏药	野水牛蒿
胡颓子	野水葡萄
旋覆花	野油花
蔊菜	野油菜
通光散	野泡通
山苦菜	野洋烟
曼陀茄根	野洋芋
刺楸树皮	野海桐皮
木蜡树叶	野漆树叶
天水蚁草	野火草
苘麻	野火麻
石龙刍	野灯芯
水红木叶	野灰靛叶
金挖耳根	野烟头
菟丝	野狐丝
菟丝	野狐浆草
桑螵蛸	野狐鼻涕
牛腿薯	野狗仔豆根
野猪脂	野猪膏
荔枝草	野猪菜
猪苓	野猪食
百两金	野猴枣
野厚朴花	野玉兰花
刺玫根	野玫瑰根
南赤匏	野瓜蒌
盒子草	野瓜藤
黄寿丹	野瓮菜
破布草	野甘露
车前草	野甜菜
盾果草	野生地
竹节参	野田七
绿兰花	野田菜
白鼓	野番薯
地白草	野白菜
樱草根	野白菜根
山药	野白薯
红果冬青	野白蜡叶
野牡丹	野石榴
山藿香	野石蚕
象头花	野磨芋
红白二丸	野秋海棠
土香薷	野紫苏
紫草	野紫草
朱砂藤	野红芋藤
田麻	野络麻
天浆壳	野羊角
蘘荷	野老姜
南鹤虱	野胡萝卜子
野亚麻	野胡麻
野亚麻子	野胡麻子
玄参	野脂麻
臭灵丹	野腊烟
九子连环草	野节兰
火头根	野芋姜
野芋	野芋艿
野芋	野芋荷
犁头尖	野芋蛋
鹅脚板	野芎
黄葵	野芙蓉
羊蹄草	野芥兰
蔊菜	野芥草
毛蒌	野芦子
虎头兰	野芭蕉
竹吐椒	野花椒
竹叶椒根	野花椒根
白鲜皮	野花椒根皮
毛药	野花毛辣角
铁马鞭	野花草
芸香草	野芸香草
旱芹	野芹
苎麻根	野苎根
苘麻子	野苎麻子
半边苏	野苏
丹参	野苏子根
大黑头草	野苏子棵
白花丹	野苜莉
半春莲	野苞芦
苦苣	野苣
茳芒根	野苦参
冻绿刺	野苦楝子
猪屎豆	野苦豆
黄果茄	野茄果
溲疏	野茉莉
竻慈姑	野茨菇
罗布麻	野茶叶
苘麻	野茼
鸡嗦子叶	野荔枝叶
鸡嗦子果	野荔枝果
鸡嗦子根	野荔枝根
金荞麦	野荞麦根
猫儿眼睛	野荞麦草
白带草	野荠菜
珍珠菜	野荷子
野烟	野莴笋
山莴苣	野莴苣
山海螺	野菜头
桂竹糖芥	野菜子
蔊菜	野菜花
大巢菜	野菜豆
羊蹄	野菠菱
橹罟子	野菠萝
刺蒺藜	野菱角
射干	野萱花
苍耳	野落苏
钩吻	野葛
铁箭矮陀	野葛萌
蘡薁藤	野葡萄藤
杓儿菜	野葵花
土大黄	野蒿英
营实	野蔷薇子
小果蔷薇花	野蔷薇花
算盘子	野蕃蒲
扇蕨	野蕨菜
对虾	野虾
蝇子草	野蚊子草
爬山豆根	野蚕虫根
小巢菜	野蚕豆
露蜂房	野蜂房
老鼠瓜	野西瓜
合萌	野豆其
粘人花	野豆子
北豆根	野豆根
网络鸡血藤	野豆角木
醉魂藤	野豇豆
荷莲豆菜	野豌豆尖
午香草	野辣烟
毛药	野辣茄
蜜桶花	野连翘
蘋	野连菜
辟汗草	野长生果
犁头尖	野附子
萝藦	野隔山消
蔊菜	野雪里蕻
狗肝菜	野青仔
灰叶	野青子
灰叶	野青树
决明子	野青豆
木蓝	野青靛
大种半边莲	野靛
自消容	野靛叶
莎草	野韭菜
萝藦	野颠
蜂斗菜	野饭瓜
水老虎	野香芹
北沙参	野香菜根
半边苏	野鱼香
浙地黄	野鲜地黄
委陵菜	野鸠旁花
雉	野鸡
青箱	野鸡冠
青箱子	野鸡冠花子
望江南子	野鸡子豆
牛筋草	野鸡爪
山稗子	野鸡稗
石壁莲	野鸡脚
委陵菜	野鸡膀子
红花菜	野鸭草
莲生桂子花	野鹤嘴
雀麦	野麦
碎骨子	野麦冬
燕麦草	野麦草
大粘药	野麻公
肥猪苗	野麻叶
紫草	野麻灯
山芝麻	野麻甲
铁苋	野麻草
大巢菜	野麻豌
笔筒草	野麻黄
岩陀	野黄姜
小芸木	野黄皮
刺黄柏	野黄芩
锦鸡儿根	野黄芪
一枝黄花	野黄菊
红大戟	野黄萝卜
猪屎豆	野黄豆草
地星	量湿地星
商陆	金七娘
小叶三点金草	金七枝
红毛七	金丝七
小升麻	金丝三七
球兰	金丝叶
滇地黄连	金丝岩陀
金腰带	金丝带
狗脊	金丝毛
金丝桃	金丝海棠
烟草	金丝烟
茅瓜	金丝瓜
三角泡	金丝苦楝
金丝草	金丝茅
蔊菜	金丝荚
鲨鱼翅	金丝菜
烟草	金丝醺
鱼鳖金星	金丝鱼鳖
地乌	金串珠
人参	金井玉阑
肺形草	金交杯
金盏草	金仙花
水朝阳花	金佛花
金沸草	金佛草
铅	金公
南瓜	金冬瓜
茑萝松	金凤毛
急性子	金凤花子
凤仙根	金凤花根
菝葜	金刚刺
菝葜	金刚头
霸王鞭	金刚杵
菝葜	金刚根
武靴藤	金刚藤
扭曲草	金刚跌打
菝葜	金刚鞭
金丝刷	金刷把
葫芦茶	金剑草
金环蛇	金包铁
岗梅根	金包银
犁头尖	金半夏
罗锅底	金吊嫩黄瓜
金钮扣	金吊钮
地态	金头石榴
柑	金实
刘寄奴	金寄奴
落新妇	金尾鳝
牛耳岩白菜	金山岩白菜
峨参	金山田七
金刚藤头	金岗藤
菝葜	金巴斗
黄皮果	金弹子
兖州卷柏	金扁桃
独蕨萁	金扇子
女娄菜	金打蛇
金钮扣	金扣头
金钮扣	金扣钮
狗脊	金扶筋
螺靥草	金指甲
棣棠花	金旦子花
八角莲	金星八角
大叶骨牌草	金星剑
脆蛇	金星地鳝
金精石	金星石
脆蛇	金星鳝
金鸡脚	金星鸡脚草
金精石	金晶石
黄木耳	金木耳
白花鬼针草	金杯银盏
土荆皮	金松
金环蛇	金极应
林檎	金林擒
无漏子	金果
佛甲草	金枪药
苞蔷薇根	金柿根
迎春花	金梅花
猕猴桃	金梨
入地金牛	金椒
金果榄	金榄
金果榄	金横榄
金樱根	金樱强
金橘核	金橘子
金钱橘饼	金橘饼
橙子	金橙
罗裙带	金武剑
红升麻	金毛三七
小金狗	金毛狗
狗脊	金毛狗脊
狗脊	金毛狮子
石韦	金汤匙
地牯牛	金沙牛
扇蕨	金沙箭
小儿腹痛草	金沙青叶胆
旋覆花	金沸花
水朝阳根	金沸草根
酸浆	金灯草
密陀僧	金炉底
火焰子	金牛七
蝉蜕	金牛儿
入地金牛	金牛公
千斤拔	金牛尾
金果榄	金牛胆
狗脊	金狗脊
翠云草	金猫草
荷莲豆菜	金玉藤
钗子股	金环章
橙子	金球
象皮木	金瓜南木皮
南瓜子	金瓜米
吊竹梅	金瓢羹
金莲花	金疙瘩
蝙蝠藤	金百脚
细辛	金盆草
金盏草	金盏儿花
桂竹糖芥	金盏盏花
白花鬼针草	金盏银盆
铁苋	金盘野苋菜
海金沙草	金砂蕨
凤仙花	金童花
淡竹叶	金竹叶
大叶南苏	金竹标
竹衣	金竹衣
谷精草	金箍棒
小野鸡尾	金粉蕨
菊花	金精
金线兰	金线入骨消
鸡蛋参	金线吊壶芦
小肺筋草	金线吊白米
纵条肌海葵	金线海葵
金线兰	金线石松
黄矾	金线矾
白毛藤	金线绿毛龟草
海金沙草	金线藤
金线兰	金线虎头蕉
蚤休	金线重楼
射干	金绞剪
抽筋草	金缠菜
金樱子	金罂子
荞麦七	金翘仁
天葵子	金耗子屎
金环蛇	金脚带
迎春花根	金腰带根
裸茎金腰子	金腰草
罗锅底	金腰莲金盆
白芍	金芍药
金莲花	金芙蓉
金银花	金花
金钟茵陈	金花屏
薯莨	金花果
